City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,shubarkuduk,49.1447,56.4872,0.55,97,100,12.13,KZ,1707080677
161,kuta,-8.7233,115.1723,27.97,83,40,5.81,ID,1707080677
162,labytnangi,66.6572,66.4183,-16.42,97,100,2.02,RU,1707080497
163,nogliki,51.8333,143.1667,-22.59,93,14,3.58,RU,1707080678
164,klyuchi,52.2667,79.1667,-5.55,91,100,4.55,RU,1707080678
165,tieli,46.95,128.05,-28.92,100,45,1.7,CN,1707080678
166,kulhudhuffushi,6.6221,73.07,27.33,78,54,3.63,MV,1707080678
167,hami,42.8,93.45,-5.56,64,3,2.06,CN,1707080678
168,hadibu,12.65,54.0333,25.28,73,25,4.81,YE,1707080599
169,vuktyl,63.8567,57.3094,-23.83,96,100,0.89,RU,1707080678
170,abengourou,6.7297,-3.4964,26.45,26,61,0.34,CI,1707080678
171,isla vista,34.4133,-119.861,13.47,89,100,11.32,US,1707080678
172,christchurch,-43.5333,172.6333,25.23,51,25,2.06,NZ,1707080678
173,nova sintra,14.8667,-24.7167,21.27,71,0,4.04,CV,1707080523
174,mil'kovo,55.6078,37.7956,0.24,92,100,5.88,RU,1707080679
175,saipan,15.1355,145.701,26.39,69,40,8.75,MP,1707080679
176,guerrero negro,27.9769,-114.0611,19.46,46,0,3.36,MX,1707080565
177,harstad,68.799,16.5293,-0.34,95,100,5.81,NO,1707080679
178,constantia,44.1833,28.65,5.39,81,100,5.35,RO,1707080679
179,puerto aysen,-45.4,-72.7,21.98,56,6,2.63,CL,1707080503
180,chulakkurgan,43.765,69.1814,-3.83,84,98,3.07,KZ,1707080679
181,codrington,-38.2667,141.9667,16.15,68,91,5.98,AU,1707080488
182,queenstown,-31.8976,26.8753,17.3,88,94,1.66,ZA,1707080679
183,cill airne,52.05,-9.5167,10.51,87,99,4.34,IE,1707080679
184,recani,31.2846,-4.2688,11.33,41,29,3.31,MA,1707080679
185,anna regina,7.2644,-58.5077,27.59,78,99,4.08,GY,1707080680
186,paredon,16.0333,-93.8667,29.0,61,5,5.1,MX,1707080680
187,krasnovishersk,60.4078,57.082,-16.53,93,95,1.84,RU,1707080680
188,oranjemund,-28.55,16.4333,19.6,88,0,1.11,NA,1707080681
189,pativilca,-10.7,-77.7833,26.2,69,71,3.81,PE,1707080681
190,santa ana,33.7456,-117.8678,18.09,64,75,6.17,US,1707080400
191,st. john's,47.5649,-52.7093,1.66,97,100,10.8,CA,1707080681
192,dunay,42.8803,132.3375,-14.6,72,92,8.36,RU,1707080682
193,papatowai,-46.5619,169.4708,14.92,95,99,2.97,NZ,1707080469
194,haguenau,48.8156,7.7905,9.4,77,100,2.68,FR,1707080682
195,tynda,55.1667,124.7167,-32.88,100,11,1.07,RU,1707080683
196,ribeira grande,38.5167,-28.7,17.22,94,75,7.6,PT,1707080683
197,atafu village,-8.5421,-172.5159,29.2,76,97,9.4,TK,1707080580
198,veinticinco de mayo,-35.4323,-60.1727,33.56,9,96,3.06,AR,1707080567
199,broome,42.2506,-75.833,5.82,51,0,3.6,US,1707080684
200,fuerte olimpo,-21.0415,-57.8738,30.86,44,95,2.82,PY,1707080685
201,dakhla,23.6848,-15.958,21.01,43,100,4.63,EH,1707080685
202,shahrud,36.4182,54.9763,-0.65,72,22,0.91,IR,1707080685
203,sarina,-21.4333,149.2167,27.56,1,100,0.54,AU,1707080685
204,port saint john's,-31.6229,29.5448,23.94,91,100,3.52,ZA,1707080473
205,stanley,54.868,-1.6985,11.82,80,75,12.86,GB,1707080389
206,tolanaro,-25.0319,46.9987,24.04,94,75,8.23,MG,1707080685
207,san mateo del mar,16.2,-95.0,26.87,65,7,3.8,MX,1707080685
208,lorengau,-2.0226,147.2712,28.39,79,98,1.85,PG,1707080489
209,huangshi,30.2042,115.0776,-3.72,96,85,3.02,CN,1707080685
210,vernon,50.2581,-119.2691,3.12,89,100,2.06,CA,1707080449
211,port lincoln,-34.7333,135.8667,17.25,62,99,7.46,AU,1707080685
212,bingham,52.9498,-0.9591,12.41,81,100,8.49,GB,1707080685
213,yomju-up,39.8933,124.5981,-5.51,85,100,2.06,KP,1707080685
214,ust-nera,64.5667,143.2,-30.8,96,97,1.85,RU,1707080685
215,kiama,-34.6833,150.8667,26.88,79,100,0.89,AU,1707080569
216,chela,34.069,104.4619,-4.66,96,90,1.36,CN,1707080685
217,agramunt,41.7869,1.0968,8.87,74,83,1.01,ES,1707080685
218,kattivakkam,13.2167,80.3167,25.06,73,62,2.34,IN,1707080685
219,carmen,18.6333,-91.8333,27.25,71,0,5.36,MX,1707080502
220,boditi,6.9667,37.8667,17.67,72,100,2.4,ET,1707080686
221,zeya,53.75,127.2667,-28.06,99,56,1.03,RU,1707080686
222,ulladulla,-35.35,150.4667,23.2,77,100,2.56,AU,1707080492
223,akrehamn,59.2667,5.1833,5.79,70,40,14.92,NO,1707080686
224,kiruna,67.8557,20.2251,-8.49,93,100,1.54,SE,1707080686
225,maputo,-25.9653,32.5892,26.82,78,40,4.12,MZ,1707080686
226,arraial do cabo,-22.9661,-42.0278,27.92,78,75,6.17,BR,1707080519
227,marsh harbour,26.5412,-77.0636,20.97,82,100,9.63,BS,1707080686
228,reggane,26.7158,0.1714,16.54,28,31,7.14,DZ,1707080686
229,el casar,38.5309,-5.9251,11.66,73,65,0.74,ES,1707080687
230,laguna,38.421,-121.4238,16.1,74,40,18.52,US,1707080687
231,cannonvale,-20.2833,148.7,27.66,66,100,2.54,AU,1707080687
232,motygino,58.1831,94.7592,-11.23,95,100,1.79,RU,1707080687
233,broken hill,-31.95,141.4333,22.99,76,100,10.7,AU,1707080687
234,gilgit,35.9221,74.3087,-2.01,82,82,1.32,PK,1707080687
235,gisors,49.2818,1.7801,10.6,82,100,5.88,FR,1707080687
236,olinda,-8.0089,-34.8553,28.85,74,40,4.12,BR,1707080687
237,ponca city,36.707,-97.0856,8.3,92,100,7.13,US,1707080569
238,egilsstadir,65.2653,-14.3948,-9.05,86,40,1.54,IS,1707080687
239,port blair,11.6667,92.75,24.6,72,49,3.82,IN,1707080687
240,tazacorte,28.629,-17.9293,19.54,25,0,3.58,ES,1707080507
241,shenkursk,62.1091,42.896,-10.38,91,100,3.66,RU,1707080689
242,preobrazheniye,42.9019,133.9064,-11.21,65,51,3.17,RU,1707080689
243,shache,38.4167,77.2406,-3.51,83,20,0.44,CN,1707080689
244,kirishi,59.4471,32.0205,-1.65,95,100,2.85,RU,1707080689
245,pesqueira,-8.3578,-36.6964,28.62,41,28,7.33,BR,1707080690
246,hammerfest,70.6634,23.6821,-3.75,74,40,3.09,NO,1707080690
247,newman,37.3138,-121.0208,15.19,89,100,7.15,US,1707080690
248,urangan,-25.3,152.9,25.67,88,70,2.68,AU,1707080690
249,shenjiamen,29.9576,122.298,3.82,87,60,13.66,CN,1707080522
250,yefremov,53.1481,38.0992,-0.78,87,89,7.4,RU,1707080690
251,takoradi,4.8845,-1.7554,27.09,80,95,3.66,GH,1707080690
252,tete,-16.1564,33.5867,29.05,65,0,2.06,MZ,1707080690
253,vanino,49.0869,140.2543,-18.93,91,10,2.41,RU,1707080690
254,tsiombe,-25.3,45.4833,23.77,89,100,2.32,MG,1707080690
255,yemetsk,63.4721,41.7941,-12.05,92,97,3.61,RU,1707080690
256,kangding,30.0513,101.9603,0.16,64,27,2.31,CN,1707080690
257,aligudarz,33.4006,49.6949,-10.29,84,5,2.15,IR,1707080691
