City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,suihua,46.6406,126.9969,-30.84,100,5,2.21,CN,1706828209
132,pimenta bueno,-11.6725,-61.1936,24.95,95,99,1.62,BR,1706828209
133,coquimbo,-29.9533,-71.3436,20.85,73,40,5.66,CL,1706827926
134,margaret river,-33.95,115.0667,18.99,82,6,2.76,AU,1706828204
135,demopolis,32.5176,-87.8364,14.97,47,0,1.54,US,1706828101
136,solikamsk,59.6196,56.7729,-6.31,95,100,3.57,RU,1706828209
137,isafjordur,66.0755,-23.124,0.29,91,89,3.43,IS,1706828209
138,port lincoln,-34.7333,135.8667,18.65,75,6,4.52,AU,1706828210
139,santa rosalia,27.3167,-112.2833,22.5,37,0,1.64,MX,1706828210
140,klyuchi,52.2667,79.1667,-6.58,94,100,4.16,RU,1706828210
141,san antonio de pale,-1.4014,5.6325,27.68,75,77,1.07,GQ,1706828210
142,olonkinbyen,70.9221,-8.7187,-7.15,61,48,4.12,SJ,1706828210
143,touros,-5.1989,-35.4608,27.25,71,15,5.82,BR,1706828210
144,al ghayzah,16.2079,52.176,23.81,82,41,3.52,YE,1706828210
145,fort bragg,35.139,-79.006,14.08,56,0,4.12,US,1706828210
146,cambria,35.5641,-121.0808,16.53,89,23,3.13,US,1706828210
147,galliano,29.4422,-90.2992,18.33,67,100,1.9,US,1706828210
148,invercargill,-46.4,168.35,10.01,94,100,2.68,NZ,1706828210
149,thompson,55.7435,-97.8558,-8.91,79,75,1.54,CA,1706828210
150,namdrik,5.5994,168.1028,28.2,79,96,7.3,MH,1706828210
151,selkirk,50.1436,-96.8845,1.17,92,99,1.34,CA,1706828210
152,gadzhiyevo,69.2551,33.3362,-0.63,89,98,15.75,RU,1706828210
153,la'ie,21.6477,-157.9253,25.98,91,75,1.34,US,1706828211
154,constantia,44.1833,28.65,0.39,61,2,4.62,RO,1706828211
155,pirenopolis,-15.8525,-48.9592,21.27,91,51,1.46,BR,1706828211
156,oyama,36.3,139.8,5.88,36,89,1.27,JP,1706828211
157,porto novo,6.4965,2.6036,28.9,85,46,3.26,BJ,1706828211
158,lata,40.1629,-8.3327,12.73,81,10,1.71,PT,1706828211
159,tiksi,71.6872,128.8694,-20.57,97,100,2.35,RU,1706828055
160,salekhard,66.53,66.6019,-14.1,97,100,2.84,RU,1706828211
